date,market,market_id,side,entry_price,amount_usd,estimated_true_probability,expected_edge_pp,confidence,strategy,reason,key_evidence,exit_condition,exit_price,profit_loss_usd,thesis_correct,lesson_learned,resolved_at
2026-08-20T13:59:23.407753+00:00,NO TRADE,,-,0.0,0.0,0.0,0.0,0,-,Live data from gamma-api.polymarket.com. 93 markets passed the quality filter; none had a defensible probability estimate exceeding the edge/confidence bar (drawdown throttle: Normal sizing.).,-,-,,,,,
2026-08-20T14:05:16.979537+00:00,NO TRADE,,-,0.0,0.0,0.0,0.0,0,-,Live data from gamma-api.polymarket.com. 80 markets passed the quality filter; none had a defensible probability estimate exceeding the edge/confidence bar (drawdown throttle: Normal sizing.).,-,-,,,,,
2026-08-20T14:18:04.972615+00:00,NO TRADE,,-,0.0,0.0,0.0,0.0,0,-,Live data from gamma-api.polymarket.com. 80 markets passed the quality filter; none had a defensible probability estimate exceeding the edge/confidence bar (drawdown throttle: Normal sizing.).,-,-,,,,,
2026-08-20T15:11:44.296499+00:00,NO TRADE,,-,0.0,0.0,0.0,0.0,0,-,Live data from gamma-api.polymarket.com. 78 markets passed the quality filter; none had a defensible probability estimate exceeding the edge/confidence bar (drawdown throttle: Normal sizing.).,-,-,,,,,
2026-08-20T16:39:42.039374+00:00,NO TRADE,,-,0.0,0.0,0.0,0.0,0,-,Live data from gamma-api.polymarket.com. 85 markets passed the quality filter; none had a defensible probability estimate exceeding the edge/confidence bar (drawdown throttle: Normal sizing.).,-,-,,,,,
2026-08-20T16:41:42.931316+00:00,NO TRADE,,-,0.0,0.0,0.0,0.0,0,-,Live data from gamma-api.polymarket.com. 85 markets passed the quality filter; none had a defensible probability estimate exceeding the edge/confidence bar (drawdown throttle: Normal sizing.).,-,-,,,,,
2026-08-20T16:43:59.032943+00:00,NO TRADE,,-,0.0,0.0,0.0,0.0,0,-,Live data from gamma-api.polymarket.com. 85 markets passed the quality filter; none had a defensible probability estimate exceeding the edge/confidence bar (drawdown throttle: Normal sizing.). BTC data fetch failed (HTTPError('429 Client Error: Too Many Requests for url: https://api.coingecko.com/api/v3/coins/bitcoin/market_chart?vs_currency=usd&days=60&interval=daily')).,-,-,,,,,
2026-08-20T16:51:11.937013+00:00,"Will Bitcoin reach $120,000 by December 31, 2026?",,NO,0.935,6.0,0.9855403086996941,5.054030869969406,4,Tier 3 - Experimental,Recommended by live cycle; not yet executed (no wallet configured).,"Barrier-touch model (zero-drift GBM): spot=$72,537, barrier=$120,000, 60d realized daily vol=1.78%, 133.5 days remaining -> model P(touch)=1.4% (vs 10.3% at 1.5x vol). Confidence capped at 4/10: 2026-08-20 backtest showed this model overstates upside touch probability in trending (non-zero-drift) regimes -- see polymanager.backtest and this module's docstring.",Re-evaluate next cycle; exit if edge closes or model assumptions are invalidated.,,,,,
2026-08-20T16:51:11.937156+00:00,"Will Bitcoin reach $80,000 in August?",,NO,0.8455,6.0,0.8955332706384862,5.003327063848618,4,Tier 3 - Experimental,Recommended by live cycle; not yet executed (no wallet configured).,"Barrier-touch model (zero-drift GBM): spot=$72,537, barrier=$80,000, 60d realized daily vol=1.78%, 11.5 days remaining -> model P(touch)=10.4% (vs 27.9% at 1.5x vol). Confidence capped at 4/10: 2026-08-20 backtest showed this model overstates upside touch probability in trending (non-zero-drift) regimes -- see polymanager.backtest and this module's docstring.",Re-evaluate next cycle; exit if edge closes or model assumptions are invalidated.,,,,,
2026-08-20T16:51:11.937216+00:00,"Will Bitcoin reach $77,500 in August?",,NO,0.6835,3.47,0.7274521809495842,4.39521809495842,4,Tier 3 - Experimental,Recommended by live cycle; not yet executed (no wallet configured).,"Barrier-touch model (zero-drift GBM): spot=$72,537, barrier=$77,500, 60d realized daily vol=1.78%, 11.5 days remaining -> model P(touch)=27.3% (vs 46.4% at 1.5x vol). Confidence capped at 4/10: 2026-08-20 backtest showed this model overstates upside touch probability in trending (non-zero-drift) regimes -- see polymanager.backtest and this module's docstring.",Re-evaluate next cycle; exit if edge closes or model assumptions are invalidated.,,,,,
2026-08-20T16:51:11.937273+00:00,"Will Bitcoin reach $82,500 in August?",,NO,0.9235,6.0,0.9671355942393329,4.363559423933294,4,Tier 3 - Experimental,Recommended by live cycle; not yet executed (no wallet configured).,"Barrier-touch model (zero-drift GBM): spot=$72,537, barrier=$82,500, 60d realized daily vol=1.78%, 11.5 days remaining -> model P(touch)=3.3% (vs 15.5% at 1.5x vol). Confidence capped at 4/10: 2026-08-20 backtest showed this model overstates upside touch probability in trending (non-zero-drift) regimes -- see polymanager.backtest and this module's docstring.",Re-evaluate next cycle; exit if edge closes or model assumptions are invalidated.,,,,,
2026-08-20T16:51:11.937319+00:00,"Will Bitcoin reach $100,000 by December 31, 2026?",,NO,0.845,5.84,0.8812084436911753,3.6208443691175374,4,Tier 3 - Experimental,Recommended by live cycle; not yet executed (no wallet configured).,"Barrier-touch model (zero-drift GBM): spot=$72,537, barrier=$100,000, 60d realized daily vol=1.78%, 133.5 days remaining -> model P(touch)=11.9% (vs 29.8% at 1.5x vol). Confidence capped at 4/10: 2026-08-20 backtest showed this model overstates upside touch probability in trending (non-zero-drift) regimes -- see polymanager.backtest and this module's docstring.",Re-evaluate next cycle; exit if edge closes or model assumptions are invalidated.,,,,,
2026-08-20T16:51:11.937365+00:00,"Will Bitcoin reach $75,000 in August?",,NO,0.3895,1.25,0.42014277210110373,3.0642772101103724,4,Tier 3 - Experimental,Recommended by live cycle; not yet executed (no wallet configured).,"Barrier-touch model (zero-drift GBM): spot=$72,537, barrier=$75,000, 60d realized daily vol=1.78%, 11.5 days remaining -> model P(touch)=58.0% (vs 71.2% at 1.5x vol). Confidence capped at 4/10: 2026-08-20 backtest showed this model overstates upside touch probability in trending (non-zero-drift) regimes -- see polymanager.backtest and this module's docstring.",Re-evaluate next cycle; exit if edge closes or model assumptions are invalidated.,,,,,
2026-08-20T16:52:51.376375+00:00,"Will Bitcoin reach $120,000 by December 31, 2026?",,NO,0.935,6.0,0.985315079540718,5.03150795407179,4,Tier 3 - Experimental,Recommended by live cycle; not yet executed (no wallet configured).,"Barrier-touch model (zero-drift GBM): spot=$72,558, barrier=$120,000, 60d realized daily vol=1.78%, 133.5 days remaining -> model P(touch)=1.5% (vs 10.4% at 1.5x vol). Confidence capped at 4/10: 2026-08-20 backtest showed this model overstates upside touch probability in trending (non-zero-drift) regimes -- see polymanager.backtest and this module's docstring.",Re-evaluate next cycle; exit if edge closes or model assumptions are invalidated.,,,,,
2026-08-20T16:52:51.376542+00:00,"Will Bitcoin reach $80,000 in August?",,NO,0.8455,6.0,0.8939243134797186,4.8424313479718535,4,Tier 3 - Experimental,Recommended by live cycle; not yet executed (no wallet configured).,"Barrier-touch model (zero-drift GBM): spot=$72,558, barrier=$80,000, 60d realized daily vol=1.78%, 11.5 days remaining -> model P(touch)=10.6% (vs 28.1% at 1.5x vol). Confidence capped at 4/10: 2026-08-20 backtest showed this model overstates upside touch probability in trending (non-zero-drift) regimes -- see polymanager.backtest and this module's docstring.",Re-evaluate next cycle; exit if edge closes or model assumptions are invalidated.,,,,,
2026-08-20T16:52:51.376605+00:00,"Will Bitcoin reach $82,500 in August?",,NO,0.9235,6.0,0.9664467908118668,4.294679081186681,4,Tier 3 - Experimental,Recommended by live cycle; not yet executed (no wallet configured).,"Barrier-touch model (zero-drift GBM): spot=$72,558, barrier=$82,500, 60d realized daily vol=1.78%, 11.5 days remaining -> model P(touch)=3.4% (vs 15.7% at 1.5x vol). Confidence capped at 4/10: 2026-08-20 backtest showed this model overstates upside touch probability in trending (non-zero-drift) regimes -- see polymanager.backtest and this module's docstring.",Re-evaluate next cycle; exit if edge closes or model assumptions are invalidated.,,,,,
2026-08-20T16:52:51.376657+00:00,"Will Bitcoin reach $77,500 in August?",,NO,0.6835,3.24,0.7245512639314708,4.105126393147085,4,Tier 3 - Experimental,Recommended by live cycle; not yet executed (no wallet configured).,"Barrier-touch model (zero-drift GBM): spot=$72,558, barrier=$77,500, 60d realized daily vol=1.78%, 11.5 days remaining -> model P(touch)=27.5% (vs 46.7% at 1.5x vol). Confidence capped at 4/10: 2026-08-20 backtest showed this model overstates upside touch probability in trending (non-zero-drift) regimes -- see polymanager.backtest and this module's docstring.",Re-evaluate next cycle; exit if edge closes or model assumptions are invalidated.,,,,,
2026-08-20T16:52:51.376705+00:00,"Will Bitcoin reach $100,000 by December 31, 2026?",,NO,0.845,5.68,0.880244228704365,3.5244228704365055,4,Tier 3 - Experimental,Recommended by live cycle; not yet executed (no wallet configured).,"Barrier-touch model (zero-drift GBM): spot=$72,558, barrier=$100,000, 60d realized daily vol=1.78%, 133.5 days remaining -> model P(touch)=12.0% (vs 30.0% at 1.5x vol). Confidence capped at 4/10: 2026-08-20 backtest showed this model overstates upside touch probability in trending (non-zero-drift) regimes -- see polymanager.backtest and this module's docstring.",Re-evaluate next cycle; exit if edge closes or model assumptions are invalidated.,,,,,
2026-08-20T18:15:17.487319+00:00,"Will Bitcoin reach $77,500 in August?",3257340,NO,0.6685,5.04,0.7352862841521981,6.678628415219812,4,Tier 3 - Experimental,Recommended by live cycle; not yet executed (no wallet configured).,"Barrier-touch model (zero-drift GBM): spot=$72,480, barrier=$77,500, 60d realized daily vol=1.78%, 11.4 days remaining -> model P(touch)=26.5% (vs 45.7% at 1.5x vol). Confidence capped at 4/10: 2026-08-20 backtest showed this model overstates upside touch probability in trending (non-zero-drift) regimes -- see polymanager.backtest and this module's docstring.",Re-evaluate next cycle; exit if edge closes or model assumptions are invalidated.,0.0000,-5.04,False,"HYPOTHETICAL (recommendation was never executed live, no wallet configured): market resolved NO side to 0.00. Would have lost $5.04 on $5.04 recommended. Estimated probability was 0.7352862841521981, edge was 6.678628415219812pp -- thesis did not hold up.",2026-08-21T09:26:45.285110+00:00
2026-08-20T18:15:17.487539+00:00,"Will Bitcoin reach $80,000 in August?",3257338,NO,0.8405,6.0,0.8998410935618426,5.934109356184258,4,Tier 3 - Experimental,Recommended by live cycle; not yet executed (no wallet configured).,"Barrier-touch model (zero-drift GBM): spot=$72,480, barrier=$80,000, 60d realized daily vol=1.78%, 11.4 days remaining -> model P(touch)=10.0% (vs 27.3% at 1.5x vol). Confidence capped at 4/10: 2026-08-20 backtest showed this model overstates upside touch probability in trending (non-zero-drift) regimes -- see polymanager.backtest and this module's docstring.",Re-evaluate next cycle; exit if edge closes or model assumptions are invalidated.,,,,,
2026-08-20T18:15:17.487632+00:00,"Will Bitcoin reach $120,000 by December 31, 2026?",701494,NO,0.935,6.0,0.9859079014344005,5.090790143440049,4,Tier 3 - Experimental,Recommended by live cycle; not yet executed (no wallet configured).,"Barrier-touch model (zero-drift GBM): spot=$72,480, barrier=$120,000, 60d realized daily vol=1.78%, 133.4 days remaining -> model P(touch)=1.4% (vs 10.2% at 1.5x vol). Confidence capped at 4/10: 2026-08-20 backtest showed this model overstates upside touch probability in trending (non-zero-drift) regimes -- see polymanager.backtest and this module's docstring.",Re-evaluate next cycle; exit if edge closes or model assumptions are invalidated.,,,,,
