keyword,cluster,target_page,intent,status
best ai receptionist for roofing companies,industry-best,compare/best-ai-receptionist-roofing.html,transactional,published
best ai receptionist for dental practices,industry-best,compare/best-ai-receptionist-dental.html,transactional,published
best ai receptionist for real estate agents,industry-best,compare/best-ai-receptionist-real-estate.html,transactional,published
gohighlevel vs votel,vs,compare/gohighlevel-vs-votel.html,comparison,published
gohighlevel alternatives,alternatives,compare/gohighlevel-vs-votel.html,comparison,published
gohighlevel review,review,reviews/gohighlevel.html,transactional,published
missed call revenue calculator,tool,tools/missed-call-calculator.html,tool/navigational,published
how much do missed calls cost a business,tool,tools/missed-call-calculator.html,informational,published
ai receptionist for small business,category,compare/index.html,transactional,planned
best crm for contractors,industry-best,compare/best-crm-contractors.html,transactional,planned
how much does an ai receptionist cost,informational,compare/index.html,informational,planned
ai receptionist pricing comparison,comparison,compare/index.html,transactional,planned
